hash,intro,Parent,parents,parent,pf1,pf2,pf3,Child,children,child,cf1,cf2,cf3,v1,v2,v3,cf4,low,high
1,Your personal task is to develop a system for shops and their products.,Shop,shops,shop,id,name,owner,Product,products,product,manufacturer,website,goods,Bread,Cake,Biscuits,price,5,40
2,Your personal task is to develop a system for shops and their products.,Shop,shops,shop,id,industry,city,Product,products,product,supplier,instructions,produce,Fruit,Vegetable,Salad,weight,5,100
3,Your personal task is to develop a system for shops and their products.,Shop,shops,shop,id,founder,headquarters,Product,products,product,tagline,manufacturer,goods,Pies,Pastries,Ice Cream,weight,2,1000
4,Your personal task is to develop a system for shops and their products.,Shop,shops,shop,id,city,founder,Product,products,product,packaging,supplier,wares,Water,Juice,Smoothies,price,1,70
5,Your personal task is to develop a system for malls and their shops.,Mall,malls,mall,id,owner,website,Shop,shops,shop,name,founder,industry,Technology,Sports,Leisure,revenue,20,40
6,Your personal task is to develop a system for malls and their shops.,Mall,malls,mall,id,title,city,Shop,shops,shop,name,predecessor,industry,Clothes,Footwear,Jewellery,revenue,5,500
7,Your personal task is to develop a system for malls and their shops.,Mall,malls,mall,id,name,city,Shop,shops,shop,boss,website,industry,Technology,Sports,Leisure,founded,1800,2024
8,Your personal task is to develop a system for malls and their shops.,Mall,malls,mall,id,name,website,Shop,shops,shop,boss,headquarters,industry,Clothes,Footwear,Jewellery,founded,1950,2024
9,Your personal task is to develop a system for hairdressers and their stylists.,Hairdresser,hairdressers,hairdresser,id,city,founder,Stylist,stylists,stylist,name,qualification,expertise,Bob cut,Bowl cut,Buzz cut,price,1,10
10,Your personal task is to develop a system for hairdressers and their stylists.,Hairdresser,hairdressers,hairdresser,id,city,speciality,Stylist,stylists,stylist,name,skills,expertise,Undercut,Mullet,Perm,price,5,50
11,Your personal task is to develop a system for hairdressers and their stylists.,Hairdresser,hairdressers,hairdresser,id,speciality,owner,Stylist,stylists,stylist,name,qualification,expertise,Bob cut,Bowl cut,Buzz cut,price,100,200
12,Your personal task is to develop a system for hairdressers and their stylists.,Hairdresser,hairdressers,hairdresser,id,speciality,city,Stylist,stylists,stylist,name,skills,expertise,Undercut,Mullet,Perm,price,30,400
